code,name,cp,strike,expire_date,T,price,iv,volume,open_interest,id
模拟_call_4.7_90d,510300远月C4.7,call,4.7,2026-11-04,0.2465753424657534,0.1747,0.1886,8419,27641,59
模拟_call_4.79_90d,510300远月C4.79,call,4.79,2026-11-04,0.2465753424657534,0.1329,0.1815,7555,5014,60
模拟_call_4.89_90d,510300远月C4.89,call,4.89,2026-11-04,0.2465753424657534,0.1005,0.1905,7443,40974,61
模拟_call_4.98_90d,510300远月C4.98,call,4.98,2026-11-04,0.2465753424657534,0.0711,0.182,3050,25376,62
模拟_call_5.12_90d,510300远月C5.12,call,5.12,2026-11-04,0.2465753424657534,0.0429,0.1818,6714,14403,63
模拟_call_5.26_90d,510300远月C5.26,call,5.26,2026-11-04,0.2465753424657534,0.0241,0.1814,4877,30749,64
模拟_call_5.4_90d,510300远月C5.4,call,5.4,2026-11-04,0.2465753424657534,0.0128,0.1852,4969,1876,65
模拟_put_4.0_90d,510300远月P4.0,put,4.0,2026-11-04,0.2465753424657534,0.01,0.1797,9819,23399,66
模拟_put_4.14_90d,510300远月P4.14,put,4.14,2026-11-04,0.2465753424657534,0.0127,0.2106,3546,18429,67
模拟_put_4.28_90d,510300远月P4.28,put,4.28,2026-11-04,0.2465753424657534,0.0279,0.1945,7122,42919,68
模拟_put_4.42_90d,510300远月P4.42,put,4.42,2026-11-04,0.2465753424657534,0.0567,0.184,7779,9208,69
模拟_put_4.51_90d,510300远月P4.51,put,4.51,2026-11-04,0.2465753424657534,0.081,0.1851,1160,19711,70
模拟_put_4.61_90d,510300远月P4.61,put,4.61,2026-11-04,0.2465753424657534,0.1161,0.1878,1080,36743,71
模拟_put_4.7_90d,510300远月P4.7,put,4.7,2026-11-04,0.2465753424657534,0.1604,0.1809,669,39210,72
模拟_put_4.79_90d,510300远月P4.79,put,4.79,2026-11-04,0.2465753424657534,0.2111,0.1805,884,28751,73
模拟_put_4.89_90d,510300远月P4.89,put,4.89,2026-11-04,0.2465753424657534,0.2742,0.174,6086,30592,74
模拟_put_4.98_90d,510300远月P4.98,put,4.98,2026-11-04,0.2465753424657534,0.3248,0.1849,6755,41941,75
模拟_put_5.12_90d,510300远月P5.12,put,5.12,2026-11-04,0.2465753424657534,0.4287,0.2,953,29312,76
模拟_put_5.26_90d,510300远月P5.26,put,5.26,2026-11-04,0.2465753424657534,0.5407,0.1843,3224,4051,77
模拟_put_5.4_90d,510300远月P5.4,put,5.4,2026-11-04,0.2465753424657534,0.6861,0.1671,7066,8079,78
