code,name,cp,strike,expire_date,T,price,iv,volume,open_interest,id
模拟_call_4.9_60d,510300次月C4.9,call,4.9,2026-10-05,0.1643835616438356,0.0691,0.1743,759,3811,35
模拟_call_4.99_60d,510300次月C4.99,call,4.99,2026-10-05,0.1643835616438356,0.0478,0.1709,5859,24078,36
模拟_call_5.13_60d,510300次月C5.13,call,5.13,2026-10-05,0.1643835616438356,0.0233,0.1874,6387,32065,37
模拟_call_5.28_60d,510300次月C5.28,call,5.28,2026-10-05,0.1643835616438356,0.0104,0.1878,7500,43642,38
模拟_call_5.42_60d,510300次月C5.42,call,5.42,2026-10-05,0.1643835616438356,0.01,0.191,8545,49354,39
模拟_put_4.0_60d,510300次月P4.0,put,4.0,2026-10-05,0.1643835616438356,0.01,0.1833,3727,26939,40
模拟_put_4.14_60d,510300次月P4.14,put,4.14,2026-10-05,0.1643835616438356,0.01,0.1867,7492,31080,41
模拟_put_4.29_60d,510300次月P4.29,put,4.29,2026-10-05,0.1643835616438356,0.0139,0.1777,4513,4748,42
模拟_put_4.43_60d,510300次月P4.43,put,4.43,2026-10-05,0.1643835616438356,0.0335,0.1743,1595,4304,43
模拟_put_4.52_60d,510300次月P4.52,put,4.52,2026-10-05,0.1643835616438356,0.055,0.1633,7380,2636,44
模拟_put_4.62_60d,510300次月P4.62,put,4.62,2026-10-05,0.1643835616438356,0.0905,0.1657,5349,22556,45
模拟_put_4.71_60d,510300次月P4.71,put,4.71,2026-10-05,0.1643835616438356,0.1273,0.1731,9058,38157,46
模拟_put_4.8_60d,510300次月P4.8,put,4.8,2026-10-05,0.1643835616438356,0.1736,0.1808,8900,28848,47
模拟_put_4.9_60d,510300次月P4.9,put,4.9,2026-10-05,0.1643835616438356,0.234,0.1807,3011,2734,48
模拟_put_4.99_60d,510300次月P4.99,put,4.99,2026-10-05,0.1643835616438356,0.3031,0.1768,5634,21445,49
模拟_put_5.13_60d,510300次月P5.13,put,5.13,2026-10-05,0.1643835616438356,0.424,0.1838,2149,32616,50
模拟_put_5.28_60d,510300次月P5.28,put,5.28,2026-10-05,0.1643835616438356,0.5659,0.183,6395,13183,51
模拟_put_5.42_60d,510300次月P5.42,put,5.42,2026-10-05,0.1643835616438356,0.7015,0.1784,2300,47940,52
模拟_call_4.0_90d,510300远月C4.0,call,4.0,2026-11-04,0.2465753424657534,0.7225,0.1691,2969,47760,53
模拟_call_4.14_90d,510300远月C4.14,call,4.14,2026-11-04,0.2465753424657534,0.6152,0.1896,4835,45064,54
模拟_call_4.29_90d,510300远月C4.29,call,4.29,2026-11-04,0.2465753424657534,0.4795,0.1776,3454,31746,55
模拟_call_4.43_90d,510300远月C4.43,call,4.43,2026-11-04,0.2465753424657534,0.3557,0.185,9107,46714,56
模拟_call_4.52_90d,510300远月C4.52,call,4.52,2026-11-04,0.2465753424657534,0.2936,0.1819,1169,37212,57
模拟_call_4.62_90d,510300远月C4.62,call,4.62,2026-11-04,0.2465753424657534,0.233,0.1606,706,1699,58
模拟_call_4.71_90d,510300远月C4.71,call,4.71,2026-11-04,0.2465753424657534,0.1793,0.1886,8419,27641,59
模拟_call_4.8_90d,510300远月C4.8,call,4.8,2026-11-04,0.2465753424657534,0.1369,0.1815,7555,5014,60
模拟_call_4.9_90d,510300远月C4.9,call,4.9,2026-11-04,0.2465753424657534,0.1039,0.1905,7443,40974,61
模拟_call_4.99_90d,510300远月C4.99,call,4.99,2026-11-04,0.2465753424657534,0.0737,0.182,3050,25376,62
模拟_call_5.13_90d,510300远月C5.13,call,5.13,2026-11-04,0.2465753424657534,0.0447,0.1818,6714,14403,63
模拟_call_5.28_90d,510300远月C5.28,call,5.28,2026-11-04,0.2465753424657534,0.0242,0.1814,4877,30749,64
模拟_call_5.42_90d,510300远月C5.42,call,5.42,2026-11-04,0.2465753424657534,0.0129,0.1852,4969,1876,65
模拟_put_4.0_90d,510300远月P4.0,put,4.0,2026-11-04,0.2465753424657534,0.01,0.1797,9819,23399,66
模拟_put_4.14_90d,510300远月P4.14,put,4.14,2026-11-04,0.2465753424657534,0.0115,0.2106,3546,18429,67
模拟_put_4.29_90d,510300远月P4.29,put,4.29,2026-11-04,0.2465753424657534,0.0271,0.1945,7122,42919,68
模拟_put_4.43_90d,510300远月P4.43,put,4.43,2026-11-04,0.2465753424657534,0.0552,0.184,7779,9208,69
模拟_put_4.52_90d,510300远月P4.52,put,4.52,2026-11-04,0.2465753424657534,0.079,0.1851,1160,19711,70
模拟_put_4.62_90d,510300远月P4.62,put,4.62,2026-11-04,0.2465753424657534,0.1134,0.1878,1080,36743,71
模拟_put_4.71_90d,510300远月P4.71,put,4.71,2026-11-04,0.2465753424657534,0.157,0.1809,669,39210,72
模拟_put_4.8_90d,510300远月P4.8,put,4.8,2026-11-04,0.2465753424657534,0.207,0.1805,884,28751,73
模拟_put_4.9_90d,510300远月P4.9,put,4.9,2026-11-04,0.2465753424657534,0.2693,0.174,6086,30592,74
模拟_put_4.99_90d,510300远月P4.99,put,4.99,2026-11-04,0.2465753424657534,0.3195,0.1849,6755,41941,75
模拟_put_5.13_90d,510300远月P5.13,put,5.13,2026-11-04,0.2465753424657534,0.4227,0.2,953,29312,76
模拟_put_5.28_90d,510300远月P5.28,put,5.28,2026-11-04,0.2465753424657534,0.5427,0.1843,3224,4051,77
模拟_put_5.42_90d,510300远月P5.42,put,5.42,2026-11-04,0.2465753424657534,0.6881,0.1671,7066,8079,78
