type,K,T,T_days,expiry,bid,ask,V_market,volume,open_interest,iv
call,770.0,0.019178082191780823,7,2026-08-13,11.04,11.4,11.219999999999999,16,622,0.17105931488037113
call,771.0,0.019178082191780823,7,2026-08-13,10.41,10.77,10.59,1,153,0.17026586578369146
call,774.0,0.019178082191780823,7,2026-08-13,7.96,8.17,8.065,247,171,0.15091791473388677
call,775.0,0.019178082191780823,7,2026-08-13,7.39,7.53,7.46,15,216,0.148446015625
call,776.0,0.019178082191780823,7,2026-08-13,7.23,7.37,7.300000000000001,45,160,0.1554039538574219
call,777.0,0.019178082191780823,7,2026-08-13,6.41,6.55,6.48,42,253,0.14832394653320313
call,778.0,0.019178082191780823,7,2026-08-13,6.41,6.58,6.495,11,229,0.15836412933349608
call,780.0,0.019178082191780823,7,2026-08-13,5.36,5.44,5.4,89,360,0.15229119201660157
call,781.0,0.019178082191780823,7,2026-08-13,5.15,5.23,5.19,194,337,0.15619740295410156
call,782.0,0.019178082191780823,7,2026-08-13,4.66,4.73,4.695,35,404,0.1534508483886719
call,784.0,0.019178082191780823,7,2026-08-13,4.04,4.11,4.075,2,655,0.15497671203613284
call,800.0,0.019178082191780823,7,2026-08-13,0.94,0.98,0.96,21,269,0.1573570593261719
call,805.0,0.019178082191780823,7,2026-08-13,0.64,0.66,0.65,171,273,0.16297223754882814
call,830.0,0.019178082191780823,7,2026-08-13,0.18,0.2,0.19,431,711,0.21094539062499998
call,840.0,0.019178082191780823,7,2026-08-13,0.13,0.14,0.135,690,696,0.2299881689453125
call,860.0,0.019178082191780823,7,2026-08-13,0.07,0.07,0.07,173,468,0.26367923828125
call,865.0,0.019178082191780823,7,2026-08-13,0.06,0.07,0.065,100,405,0.27735097656249996
call,870.0,0.019178082191780823,7,2026-08-13,0.05,0.06,0.055,387,248,0.28516339843749994
call,875.0,0.019178082191780823,7,2026-08-13,0.04,0.05,0.045,726,398,0.2919992675781249
put,590.0,0.019178082191780823,7,2026-08-13,0.01,0.02,0.015,920,847,0.5585981640625001
put,640.0,0.019178082191780823,7,2026-08-13,0.02,0.03,0.025,55,35,0.42969320312500003
put,665.0,0.019178082191780823,7,2026-08-13,0.03,0.05,0.04,2,7,0.36817038085937503
put,670.0,0.019178082191780823,7,2026-08-13,0.04,0.05,0.045,36,52,0.35156898437499995
put,675.0,0.019178082191780823,7,2026-08-13,0.04,0.06,0.05,4,41,0.34278000976562495
put,680.0,0.019178082191780823,7,2026-08-13,0.05,0.06,0.055,1,37,0.32617861328125
put,685.0,0.019178082191780823,7,2026-08-13,0.06,0.07,0.065,1,61,0.3154365332031249
put,690.0,0.019178082191780823,7,2026-08-13,0.07,0.08,0.07500000000000001,10,68,0.30371790039062496
put,695.0,0.019178082191780823,7,2026-08-13,0.07,0.08,0.07500000000000001,2,47,0.2866282275390625
put,700.0,0.019178082191780823,7,2026-08-13,0.08,0.09,0.08499999999999999,117,202,0.2739330419921875
put,701.0,0.019178082191780823,7,2026-08-13,0.08,0.1,0.09,61,69,0.2739330419921875
put,702.0,0.019178082191780823,7,2026-08-13,0.09,0.1,0.095,10,121,0.270515107421875
put,703.0,0.019178082191780823,7,2026-08-13,0.09,0.11,0.1,5,6,0.270515107421875
put,705.0,0.019178082191780823,7,2026-08-13,0.1,0.11,0.10500000000000001,2,190,0.26367923828125
put,706.0,0.019178082191780823,7,2026-08-13,0.1,0.12,0.11,3,3,0.26319096191406255
put,707.0,0.019178082191780823,7,2026-08-13,0.1,0.11,0.10500000000000001,11,9,0.256843369140625
put,708.0,0.019178082191780823,7,2026-08-13,0.1,0.11,0.10500000000000001,1,5,0.2534254345703125
put,709.0,0.019178082191780823,7,2026-08-13,0.11,0.12,0.11499999999999999,12,13,0.252937158203125
put,710.0,0.019178082191780823,7,2026-08-13,0.12,0.13,0.125,43,164,0.25196060546875
put,711.0,0.019178082191780823,7,2026-08-13,0.11,0.12,0.11499999999999999,3,4,0.2456130126953125
put,712.0,0.019178082191780823,7,2026-08-13,0.12,0.13,0.125,56,107,0.245124736328125
put,713.0,0.019178082191780823,7,2026-08-13,0.12,0.13,0.125,12,16,0.2417068017578125
put,714.0,0.019178082191780823,7,2026-08-13,0.13,0.15,0.14,95,121,0.24268335449218748
put,715.0,0.019178082191780823,7,2026-08-13,0.14,0.15,0.14500000000000002,20,748,0.23926541992187497
put,716.0,0.019178082191780823,7,2026-08-13,0.14,0.16,0.15000000000000002,3,36,0.23780059082031246
put,717.0,0.019178082191780823,7,2026-08-13,0.14,0.16,0.15000000000000002,2,19,0.23438265625
put,718.0,0.019178082191780823,7,2026-08-13,0.15,0.16,0.155,2,14,0.2304764453125
put,719.0,0.019178082191780823,7,2026-08-13,0.17,0.18,0.175,3,17,0.2309647216796875
put,720.0,0.019178082191780823,7,2026-08-13,0.16,0.18,0.16999999999999998,116,596,0.22754678710937498
put,721.0,0.019178082191780823,7,2026-08-13,0.17,0.19,0.18,28,57,0.225593681640625
put,722.0,0.019178082191780823,7,2026-08-13,0.19,0.2,0.195,35,24,0.22364057617187497
put,723.0,0.019178082191780823,7,2026-08-13,0.19,0.21,0.2,5,4,0.22168747070312497
put,724.0,0.019178082191780823,7,2026-08-13,0.2,0.22,0.21000000000000002,12,11,0.21949022705078125
put,725.0,0.019178082191780823,7,2026-08-13,0.21,0.22,0.215,95,340,0.215828154296875
put,726.0,0.019178082191780823,7,2026-08-13,0.21,0.23,0.22,12,16,0.2133867724609375
put,727.0,0.019178082191780823,7,2026-08-13,0.23,0.25,0.24,104,204,0.21265435791015624
put,728.0,0.019178082191780823,7,2026-08-13,0.24,0.26,0.25,5,9,0.21021297607421874
put,729.0,0.019178082191780823,7,2026-08-13,0.24,0.25,0.245,4,12,0.20508607421874997
put,730.0,0.019178082191780823,7,2026-08-13,0.26,0.27,0.265,103,704,0.20386538330078124
put,731.0,0.019178082191780823,7,2026-08-13,0.28,0.3,0.29000000000000004,39,35,0.2036212451171875
put,732.0,0.019178082191780823,7,2026-08-13,0.3,0.31,0.305,65,76,0.20093572509765623
put,733.0,0.019178082191780823,7,2026-08-13,0.3,0.32,0.31,5,11,0.19800606689453126
put,734.0,0.019178082191780823,7,2026-08-13,0.32,0.33,0.325,11,19,0.19507640869140624
put,735.0,0.019178082191780823,7,2026-08-13,0.34,0.35,0.345,305,262,0.19336744140625
put,736.0,0.019178082191780823,7,2026-08-13,0.35,0.37,0.36,165,163,0.19117019775390626
put,737.0,0.019178082191780823,7,2026-08-13,0.38,0.4,0.39,11,46,0.18994950683593753
put,738.0,0.019178082191780823,7,2026-08-13,0.4,0.42,0.41000000000000003,145,291,0.18763019409179688
put,739.0,0.019178082191780823,7,2026-08-13,0.44,0.46,0.45,11,18,0.18689777954101564
put,740.0,0.019178082191780823,7,2026-08-13,0.45,0.47,0.45999999999999996,577,347,0.1834798449707031
put,741.0,0.019178082191780823,7,2026-08-13,0.47,0.49,0.48,34,154,0.18079432495117187
put,742.0,0.019178082191780823,7,2026-08-13,0.5,0.53,0.515,49,73,0.17945156494140624
put,743.0,0.019178082191780823,7,2026-08-13,0.56,0.58,0.5700000000000001,4,201,0.178719150390625
put,744.0,0.019178082191780823,7,2026-08-13,0.6,0.62,0.61,31,34,0.17688811401367188
put,745.0,0.019178082191780823,7,2026-08-13,0.64,0.67,0.655,1,454,0.17554535400390625
put,746.0,0.019178082191780823,7,2026-08-13,0.69,0.71,0.7,47,53,0.17347017944335938
put,747.0,0.019178082191780823,7,2026-08-13,0.72,0.74,0.73,243,298,0.17054052124023442
put,748.0,0.019178082191780823,7,2026-08-13,0.79,0.81,0.8,140,103,0.16968603759765627
put,749.0,0.019178082191780823,7,2026-08-13,0.81,0.84,0.825,157,92,0.16651224121093755
put,750.0,0.019178082191780823,7,2026-08-13,0.91,0.92,0.915,57,346,0.16571879211425783
put,751.0,0.019178082191780823,7,2026-08-13,0.98,1.01,0.995,1252,56,0.165047412109375
put,752.0,0.019178082191780823,7,2026-08-13,1.06,1.09,1.0750000000000002,11,106,0.16358258300781253
put,753.0,0.019178082191780823,7,2026-08-13,1.08,1.11,1.0950000000000002,2,143,0.1593711993408203
put,754.0,0.019178082191780823,7,2026-08-13,1.24,1.27,1.255,6,147,0.1606529248046875
put,755.0,0.019178082191780823,7,2026-08-13,1.28,1.32,1.3,105,259,0.1573570593261719
put,756.0,0.019178082191780823,7,2026-08-13,1.44,1.48,1.46,25,89,0.15784533569335937
put,757.0,0.019178082191780823,7,2026-08-13,1.46,1.5,1.48,5,296,0.15302360656738284
put,758.0,0.019178082191780823,7,2026-08-13,1.66,1.7,1.68,70,271,0.15418326293945314
put,759.0,0.019178082191780823,7,2026-08-13,1.81,1.85,1.83,190,182,0.15320671020507814
put,760.0,0.019178082191780823,7,2026-08-13,1.84,1.89,1.865,26,365,0.1485680847167969
put,761.0,0.019178082191780823,7,2026-08-13,2.0,2.05,2.025,297,184,0.14731687652587894
put,770.0,0.019178082191780823,7,2026-08-13,3.96,4.03,3.995,6,73,0.13343151733398437
call,655.0,0.09863013698630137,36,2026-09-11,123.11,126.46,124.785,1,1,0.43945873046875
call,690.0,0.09863013698630137,36,2026-09-11,88.47,91.69,90.08,2,1,0.3419865606689453
call,718.0,0.09863013698630137,36,2026-09-11,61.67,64.94,63.305,2,1,0.278327529296875
call,720.0,0.09863013698630137,36,2026-09-11,60.29,63.69,61.989999999999995,1,5,0.2831187411499023
call,724.0,0.09863013698630137,36,2026-09-11,55.94,59.37,57.655,2,0,0.26569337829589845
call,730.0,0.09863013698630137,36,2026-09-11,50.62,53.91,52.265,50,53,0.2537611245727539
call,732.0,0.09863013698630137,36,2026-09-11,48.59,52.1,50.345,38,66,0.249732844543457
call,734.0,0.09863013698630137,36,2026-09-11,47.33,50.34,48.835,41,44,0.24622335815429688
call,735.0,0.09863013698630137,36,2026-09-11,46.11,49.47,47.79,2,5,0.24454490814208985
call,736.0,0.09863013698630137,36,2026-09-11,45.7,48.73,47.215,4,5,0.24451439086914065
call,737.0,0.09863013698630137,36,2026-09-11,44.32,47.57,45.945,24,45,0.23905179901123047
call,738.0,0.09863013698630137,36,2026-09-11,43.32,46.77,45.045,82,86,0.2381973153686523
call,739.0,0.09863013698630137,36,2026-09-11,42.88,46.3,44.59,1,6,0.24138637039184568
call,740.0,0.09863013698630137,36,2026-09-11,42.0,44.15,43.075,38,320,0.22347273117065425
call,741.0,0.09863013698630137,36,2026-09-11,40.81,44.05,42.43,29,59,0.2313004116821289
call,742.0,0.09863013698630137,36,2026-09-11,39.67,43.18,41.425,16,51,0.22940834075927735
call,743.0,0.09863013698630137,36,2026-09-11,38.8,42.03,40.415,80,83,0.22403730072021477
call,744.0,0.09863013698630137,36,2026-09-11,38.03,41.34,39.685,2,84,0.22428143890380853
call,745.0,0.09863013698630137,36,2026-09-11,37.2,40.48,38.84,230,344,0.222389367980957
call,746.0,0.09863013698630137,36,2026-09-11,36.99,39.17,38.08,1,43,0.21509573974609375
call,747.0,0.09863013698630137,36,2026-09-11,35.55,38.79,37.17,3,27,0.21884936431884766
call,748.0,0.09863013698630137,36,2026-09-11,34.64,37.95,36.295,2,21,0.21707936248779297
call,749.0,0.09863013698630137,36,2026-09-11,34.46,36.53,35.495000000000005,1,8,0.20850400878906244
call,750.0,0.09863013698630137,36,2026-09-11,33.04,36.28,34.66,180,96,0.2135088415527344
call,751.0,0.09863013698630137,36,2026-09-11,32.89,36.09,34.49,48,56,0.2189714334106445
call,752.0,0.09863013698630137,36,2026-09-11,31.39,34.66,33.025,35,37,0.21030452789306642
call,753.0,0.09863013698630137,36,2026-09-11,31.15,34.47,32.81,2,67,0.21555349884033204
call,754.0,0.09863013698630137,36,2026-09-11,30.29,33.68,31.985,35,22,0.21399711791992188
call,755.0,0.09863013698630137,36,2026-09-11,31.18,32.82,32.0,2,100,0.21161677062988277
call,756.0,0.09863013698630137,36,2026-09-11,28.06,30.07,29.064999999999998,12,51,0.18839312591552732
call,757.0,0.09863013698630137,36,2026-09-11,27.99,29.98,28.985,5,82,0.1945270977783203
call,758.0,0.09863013698630137,36,2026-09-11,26.69,29.69,28.19,27,47,0.1982807223510742
call,759.0,0.09863013698630137,36,2026-09-11,26.55,28.57,27.560000000000002,27,77,0.19295545822143556
call,760.0,0.09863013698630137,36,2026-09-11,25.47,28.4,26.935,1,159,0.1977619287109375
call,761.0,0.09863013698630137,36,2026-09-11,25.0,26.98,25.990000000000002,23,9,0.18918657501220704
call,762.0,0.09863013698630137,36,2026-09-11,24.45,27.35,25.9,65,57,0.19947089599609374
call,763.0,0.09863013698630137,36,2026-09-11,23.17,25.89,24.53,21,26,0.19040726593017582
call,764.0,0.09863013698630137,36,2026-09-11,22.87,26.11,24.490000000000002,1,224,0.19883003326416016
call,765.0,0.09863013698630137,36,2026-09-11,23.0,23.3,23.15,189,187,0.17568268173217771
call,766.0,0.09863013698630137,36,2026-09-11,21.17,22.64,21.905,34,244,0.17487397399902344
call,767.0,0.09863013698630137,36,2026-09-11,20.56,23.76,22.16,2,212,0.1922383023071289
call,768.0,0.09863013698630137,36,2026-09-11,19.76,21.2,20.48,208,197,0.17176121215820314
call,769.0,0.09863013698630137,36,2026-09-11,18.62,20.6,19.61,2,137,0.17131871170043944
call,770.0,0.09863013698630137,36,2026-09-11,20.26,20.57,20.415,18,211,0.17656768264770512
call,771.0,0.09863013698630137,36,2026-09-11,17.74,21.25,19.494999999999997,1,162,0.18885088500976563
call,772.0,0.09863013698630137,36,2026-09-11,16.83,20.13,18.479999999999997,61,140,0.1828389822387695
call,773.0,0.09863013698630137,36,2026-09-11,16.91,18.7,17.805,2,100,0.1736532830810547
call,774.0,0.09863013698630137,36,2026-09-11,17.63,18.03,17.83,64,98,0.1720358676147461
call,775.0,0.09863013698630137,36,2026-09-11,16.97,17.32,17.145,5,305,0.16993017578125003
call,776.0,0.09863013698630137,36,2026-09-11,16.45,16.86,16.655,1,73,0.17025060714721685
call,777.0,0.09863013698630137,36,2026-09-11,15.98,16.14,16.060000000000002,126,156,0.16785500122070315
call,778.0,0.09863013698630137,36,2026-09-11,14.84,15.0,14.92,46,84,0.1611717184448242
call,779.0,0.09863013698630137,36,2026-09-11,14.82,14.97,14.895,3,116,0.1655051712036133
call,780.0,0.09863013698630137,36,2026-09-11,14.31,14.45,14.379999999999999,26,948,0.16483379119873048
call,781.0,0.09863013698630137,36,2026-09-11,13.24,13.4,13.32,41,132,0.15873033660888675
call,782.0,0.09863013698630137,36,2026-09-11,12.81,12.96,12.885000000000002,257,206,0.15865404342651368
call,783.0,0.09863013698630137,36,2026-09-11,12.74,12.9,12.82,24,66,0.16233137481689452
call,784.0,0.09863013698630137,36,2026-09-11,12.22,12.37,12.295,7,41,0.161141201171875
call,785.0,0.09863013698630137,36,2026-09-11,11.79,11.94,11.864999999999998,20,634,0.16088180435180666
call,786.0,0.09863013698630137,36,2026-09-11,10.83,10.98,10.905000000000001,49,82,0.15506826385498051
call,787.0,0.09863013698630137,36,2026-09-11,10.86,11.01,10.934999999999999,210,198,0.1593254234313965
call,788.0,0.09863013698630137,36,2026-09-11,10.51,10.62,10.565,3,51,0.15917283706665042
call,789.0,0.09863013698630137,36,2026-09-11,10.04,10.16,10.1,1,27,0.15818102569580078
call,790.0,0.09863013698630137,36,2026-09-11,9.66,9.77,9.715,248,255,0.15781481842041017
call,791.0,0.09863013698630137,36,2026-09-11,9.25,9.34,9.295,2,52,0.15691455886840822
call,792.0,0.09863013698630137,36,2026-09-11,8.86,8.95,8.905,10,85,0.15633473068237308
call,793.0,0.09863013698630137,36,2026-09-11,8.08,8.19,8.135,33,55,0.15158929473876953
call,794.0,0.09863013698630137,36,2026-09-11,8.08,8.17,8.125,68,58,0.15483938430786137
call,795.0,0.09863013698630137,36,2026-09-11,7.73,7.83,7.78,144,149,0.1544731770324707
call,796.0,0.09863013698630137,36,2026-09-11,7.4,7.5,7.45,11,29,0.1541069697570801
call,798.0,0.09863013698630137,36,2026-09-11,6.76,6.87,6.8149999999999995,183,249,0.15340507247924806
call,799.0,0.09863013698630137,36,2026-09-11,6.44,6.51,6.475,487,468,0.15235222656250003
call,800.0,0.09863013698630137,36,2026-09-11,5.92,5.99,5.955,322,252,0.1492394647216797
call,801.0,0.09863013698630137,36,2026-09-11,5.86,5.92,5.890000000000001,60,41,0.15143670837402345
call,802.0,0.09863013698630137,36,2026-09-11,5.33,5.38,5.355,28,80,0.14772885971069338
call,804.0,0.09863013698630137,36,2026-09-11,5.09,5.16,5.125,3,360,0.15076532836914067
call,805.0,0.09863013698630137,36,2026-09-11,4.58,4.63,4.605,23,136,0.14664549652099607
call,806.0,0.09863013698630137,36,2026-09-11,4.6,4.67,4.635,3,104,0.14998713790893559
call,807.0,0.09863013698630137,36,2026-09-11,4.4,4.47,4.4350000000000005,3,131,0.1500329138183594
call,808.0,0.09863013698630137,36,2026-09-11,4.0,4.03,4.015000000000001,96,75,0.14661497924804687
call,809.0,0.09863013698630137,36,2026-09-11,3.98,4.04,4.01,52,51,0.149422568359375
call,810.0,0.09863013698630137,36,2026-09-11,3.76,3.83,3.795,13,181,0.14899532653808595
call,811.0,0.09863013698630137,36,2026-09-11,3.61,3.66,3.635,1,11,0.14905636108398437
call,812.0,0.09863013698630137,36,2026-09-11,3.43,3.49,3.46,88,95,0.14902584381103517
call,813.0,0.09863013698630137,36,2026-09-11,3.07,3.12,3.0949999999999998,2,62,0.1457299783325195
call,814.0,0.09863013698630137,36,2026-09-11,2.92,2.95,2.935,144,67,0.14539428833007811
call,815.0,0.09863013698630137,36,2026-09-11,2.77,2.82,2.795,105,32,0.14563842651367187
call,816.0,0.09863013698630137,36,2026-09-11,2.8,2.84,2.82,2,181,0.14835446380615236
call,818.0,0.09863013698630137,36,2026-09-11,2.51,2.56,2.535,80,80,0.14814084289550783
call,819.0,0.09863013698630137,36,2026-09-11,2.25,2.3,2.275,5,30,0.14563842651367187
call,820.0,0.09863013698630137,36,2026-09-11,2.29,2.33,2.31,39,155,0.148446015625
call,822.0,0.09863013698630137,36,2026-09-11,1.93,1.97,1.95,1,37,0.1457299783325195
call,835.0,0.09863013698630137,36,2026-09-11,1.05,1.09,1.07,46,51,0.15009394836425782
call,850.0,0.09863013698630137,36,2026-09-11,0.52,0.54,0.53,1,69,0.1550377465820313
call,860.0,0.09863013698630137,36,2026-09-11,0.36,0.38,0.37,26,9,0.16138533935546873
put,500.0,0.09863013698630137,36,2026-09-11,0.09,0.1,0.095,4,10,0.5009815527343751
put,505.0,0.09863013698630137,36,2026-09-11,0.1,0.11,0.10500000000000001,1,1,0.495122236328125
put,510.0,0.09863013698630137,36,2026-09-11,0.1,0.11,0.10500000000000001,1,1,0.48438015625
put,515.0,0.09863013698630137,36,2026-09-11,0.11,0.12,0.11499999999999999,3,10,0.47852083984375
put,520.0,0.09863013698630137,36,2026-09-11,0.12,0.13,0.125,2,3,0.471684970703125
put,525.0,0.09863013698630137,36,2026-09-11,0.12,0.14,0.13,2,1,0.46533737792968755
put,535.0,0.09863013698630137,36,2026-09-11,0.14,0.15,0.14500000000000002,7,207,0.44824770507812495
put,540.0,0.09863013698630137,36,2026-09-11,0.15,0.16,0.155,1,5,0.4409235595703125
put,545.0,0.09863013698630137,36,2026-09-11,0.16,0.17,0.165,1,7,0.4335994140625
put,560.0,0.09863013698630137,36,2026-09-11,0.19,0.21,0.2,2,5,0.41358008300781246
put,570.0,0.09863013698630137,36,2026-09-11,0.23,0.24,0.235,1,14,0.39942006835937505
put,575.0,0.09863013698630137,36,2026-09-11,0.24,0.25,0.245,1,6,0.3913635083007812
put,580.0,0.09863013698630137,36,2026-09-11,0.25,0.27,0.26,5,142,0.3850159155273437
put,585.0,0.09863013698630137,36,2026-09-11,0.27,0.28,0.275,1,15,0.3764710791015625
put,590.0,0.09863013698630137,36,2026-09-11,0.29,0.3,0.295,6,69,0.36963520996093746
put,595.0,0.09863013698630137,36,2026-09-11,0.3,0.32,0.31,1,20,0.36255520263671875
put,600.0,0.09863013698630137,36,2026-09-11,0.33,0.34,0.335,1,195,0.3552310571289062
put,605.0,0.09863013698630137,36,2026-09-11,0.36,0.37,0.365,21,42,0.3491276025390625
put,610.0,0.09863013698630137,36,2026-09-11,0.37,0.39,0.38,6,37,0.3415593188476562
put,615.0,0.09863013698630137,36,2026-09-11,0.41,0.42,0.415,6,25,0.3347234497070312
put,620.0,0.09863013698630137,36,2026-09-11,0.43,0.44,0.435,1,44,0.3266668896484375
put,625.0,0.09863013698630137,36,2026-09-11,0.46,0.48,0.47,5,102,0.3205634350585937
put,630.0,0.09863013698630137,36,2026-09-11,0.49,0.51,0.5,6,34,0.3131172204589844
put,635.0,0.09863013698630137,36,2026-09-11,0.54,0.56,0.55,2,19,0.30713583496093744
put,640.0,0.09863013698630137,36,2026-09-11,0.58,0.6,0.59,9,55,0.30005582763671873
put,645.0,0.09863013698630137,36,2026-09-11,0.63,0.65,0.64,1,22,0.2934640966796874
put,650.0,0.09863013698630137,36,2026-09-11,0.67,0.69,0.6799999999999999,48,96,0.28565167480468745
put,655.0,0.09863013698630137,36,2026-09-11,0.72,0.74,0.73,15,63,0.2784495983886719
put,660.0,0.09863013698630137,36,2026-09-11,0.79,0.81,0.8,28,55,0.27210200561523434
put,665.0,0.09863013698630137,36,2026-09-11,0.84,0.87,0.855,20,46,0.2647778601074219
put,670.0,0.09863013698630137,36,2026-09-11,0.93,0.95,0.94,114,30,0.25818612915039063
put,675.0,0.09863013698630137,36,2026-09-11,1.0,1.03,1.0150000000000001,13,135,0.25110612182617187
put,680.0,0.09863013698630137,36,2026-09-11,1.1,1.13,1.115,13,133,0.24457542541503907
put,685.0,0.09863013698630137,36,2026-09-11,1.2,1.23,1.2149999999999999,97,6086,0.2375564526367187
put,690.0,0.09863013698630137,36,2026-09-11,1.35,1.36,1.355,114,133,0.23114782531738282
put,691.0,0.09863013698630137,36,2026-09-11,1.34,1.37,1.355,17,14,0.22925575439453127
put,692.0,0.09863013698630137,36,2026-09-11,1.36,1.39,1.375,13,164,0.22766885620117186
put,693.0,0.09863013698630137,36,2026-09-11,1.39,1.42,1.4049999999999998,1,265,0.2264481652832031
put,694.0,0.09863013698630137,36,2026-09-11,1.42,1.45,1.435,17,6662,0.22516643981933593
put,695.0,0.09863013698630137,36,2026-09-11,1.47,1.49,1.48,4,383,0.2241898870849609
put,696.0,0.09863013698630137,36,2026-09-11,1.51,1.54,1.525,16,241,0.2235185070800781
put,697.0,0.09863013698630137,36,2026-09-11,1.5,1.54,1.52,4,35,0.2211991943359375
put,698.0,0.09863013698630137,36,2026-09-11,1.54,1.57,1.5550000000000002,2,81,0.21985643432617186
put,699.0,0.09863013698630137,36,2026-09-11,1.59,1.63,1.6099999999999999,33,194,0.21936815795898437
put,700.0,0.09863013698630137,36,2026-09-11,1.63,1.66,1.645,6,558,0.2179643634033203
put,701.0,0.09863013698630137,36,2026-09-11,1.65,1.68,1.665,23,106,0.2161943615722656
put,702.0,0.09863013698630137,36,2026-09-11,1.71,1.74,1.725,162,306,0.2156145333862305
put,703.0,0.09863013698630137,36,2026-09-11,1.74,1.78,1.76,3,265,0.21442435974121093
put,704.0,0.09863013698630137,36,2026-09-11,1.78,1.81,1.795,20,39,0.21286797882080077
put,705.0,0.09863013698630137,36,2026-09-11,1.82,1.85,1.835,21,471,0.21161677062988277
put,706.0,0.09863013698630137,36,2026-09-11,1.84,1.88,1.8599999999999999,27,25,0.21002987243652343
put,707.0,0.09863013698630137,36,2026-09-11,1.9,1.93,1.915,192,206,0.20896176788330073
put,708.0,0.09863013698630137,36,2026-09-11,1.94,1.98,1.96,26,51,0.20786314605712886
put,709.0,0.09863013698630137,36,2026-09-11,1.99,2.03,2.01,35,39,0.20673400695800775
put,710.0,0.09863013698630137,36,2026-09-11,2.0,2.03,2.0149999999999997,12,205,0.20429262512207028
